Day,Hour of Day,Density
M,6,0.0
M,7,0.0
M,8,0.0
M,9,0.0
M,10,0.0
M,11,0.0
M,12,0.0
M,13,0.005031464608105299
M,14,0.019087519324419624
M,15,0.03372940435428817
M,16,0.04561680321107207
M,17,0.03787871401443246
M,18,0.013733288499594171
M,19,0.0
M,20,0.0
M,21,0.0
M,22,0.0
M,23,0.0
T,6,0.0
T,7,0.0
T,8,0.0
T,9,0.0
T,10,0.0
T,11,0.0
T,12,0.0
T,13,0.005637214805269496
T,14,0.018742575760227715
T,15,0.032395640129903064
T,16,0.043130613015050986
T,17,0.03593726832296212
T,18,0.0138962339999232
T,19,0.0
T,20,0.0
T,21,0.0
T,22,0.0
T,23,0.0
W,6,0.0
W,7,0.0
W,8,0.0
W,9,0.0
W,10,0.0
W,11,0.0
W,12,0.0
W,13,0.005584688258923015
W,14,0.019002334003737974
W,15,0.03234918491090587
W,16,0.0423055977177082
W,17,0.03525561233672062
W,18,0.013567545791825387
W,19,0.0
W,20,0.0
W,21,0.0
W,22,0.0
W,23,0.0
R,6,0.0
R,7,0.0
R,8,0.0
R,9,0.0
R,10,0.0
R,11,0.0
R,12,0.0
R,13,0.00527043948940282
R,14,0.017939397319318637
R,15,0.030908935105504205
R,16,0.04072834251962065
R,17,0.0339894596047766
R,18,0.013525432253467648
R,19,0.0
R,20,0.0
R,21,0.0
R,22,0.0
R,23,0.0
F,6,0.0
F,7,0.0
F,8,0.0
F,9,0.0
F,10,0.0
F,11,0.0
F,12,0.0
F,13,0.0058976465354559715
F,14,0.01947736719986979
F,15,0.032706923623039806
F,16,0.04157778176810849
F,17,0.0337176889036289
F,18,0.014106394088477973
F,19,0.0
F,20,0.0
F,21,0.0
F,22,0.0
F,23,0.0
Sa,6,0.0
Sa,7,0.0
Sa,8,0.0
Sa,9,0.0
Sa,10,0.0
Sa,11,0.0
Sa,12,0.0
Sa,13,0.007271769640985826
Sa,14,0.019116322931144257
Sa,15,0.029137221105302334
Sa,16,0.03212535399285195
Sa,17,0.026108497237782333
Sa,18,0.01629029391058256
Sa,19,0.008342404673850227
Sa,20,0.0
Sa,21,0.0
Sa,22,0.0
Sa,23,0.0
Su,6,0.0
Su,7,0.0
Su,8,8.006688965146026e-05
Su,9,0.0
Su,10,0.0
Su,11,0.0
Su,12,0.00015339487691602756
Su,13,0.006117195185687047
Su,14,0.015631249485071837
Su,15,0.024163064145623407
Su,16,0.027012160130572758
Su,17,0.0224448936271582
Su,18,0.014944703199478685
Su,19,0.008333897491600286
Su,20,0.0
Su,21,0.0
Su,22,0.0
Su,23,0.0
