Day,Hour of Day,Density
M,6,1.9831376480989655e-06
M,7,0.0
M,8,0.0
M,9,0.0
M,10,0.0
M,11,0.0
M,12,0.0
M,13,0.0
M,14,0.0
M,15,0.0
M,16,0.0
M,17,0.025311280026786443
M,18,0.06747469248231763
M,19,0.07237063109198194
M,20,0.03435594640881392
M,21,0.00011253016334490594
M,22,0.0
M,23,0.0
T,6,2.0093721234585136e-05
T,7,0.0
T,8,0.0
T,9,0.0
T,10,0.0
T,11,0.0
T,12,0.0
T,13,0.0
T,14,0.0
T,15,0.0
T,16,0.0
T,17,0.023480561088516715
T,18,0.06311036119767727
T,19,0.06688424794144103
T,20,0.03030497424068277
T,21,0.0
T,22,0.0
T,23,0.0
W,6,2.8894640384915084e-05
W,7,0.0
W,8,0.0
W,9,0.0
W,10,0.0
W,11,0.0
W,12,0.0
W,13,0.0
W,14,0.0
W,15,0.0
W,16,0.0
W,17,0.0227954669880587
W,18,0.06128078547530925
W,19,0.06518006077682398
W,20,0.029695521960225884
W,21,0.0
W,22,0.0
W,23,0.0
R,6,6.80461501260286e-06
R,7,0.0
R,8,0.0
R,9,0.0
R,10,0.0
R,11,0.0
R,12,0.0
R,13,0.0
R,14,0.0
R,15,0.0
R,16,0.0
R,17,0.02113868037481333
R,18,0.0570855022115124
R,19,0.060535266443953975
R,20,0.026898832488878567
R,21,0.0
R,22,0.0
R,23,0.0
F,6,2.1819810769069995e-06
F,7,0.0
F,8,0.0
F,9,0.0
F,10,0.0
F,11,0.0
F,12,0.0
F,13,0.0
F,14,0.0
F,15,0.0
F,16,0.0
F,17,0.02020500975251735
F,18,0.05226002788405865
F,19,0.0558514066087364
F,20,0.02584139781628027
F,21,0.0
F,22,0.0
F,23,0.0
Sa,6,0.0
Sa,7,0.0
Sa,8,0.0004626305208768246
Sa,9,0.0018466529265997729
Sa,10,0.0035879614081927485
Sa,11,0.005257522783967523
Sa,12,0.006913036364598228
Sa,13,0.005995574249317426
Sa,14,0.0037795972888109612
Sa,15,0.0025652270843192506
Sa,16,0.005000768518334707
Sa,17,0.01085138093307058
Sa,18,0.01535919035779588
Sa,19,0.012014390022775998
Sa,20,0.0
Sa,21,0.0
Sa,22,0.0
Sa,23,0.0
Su,6,0.0
Su,7,0.0
Su,8,0.0003246017111434007
Su,9,0.0014356599210802344
Su,10,0.0027652933033790765
Su,11,0.004137857158512064
Su,12,0.005249032259670067
Su,13,0.004279411049028556
Su,14,0.0021866425254401718
Su,15,0.0008233333878563682
Su,16,0.0020418250311958993
Su,17,0.00587682996809237
Su,18,0.008420461621225799
Su,19,0.006591978086627621
Su,20,0.0
Su,21,0.0
Su,22,0.0
Su,23,0.0
