Day,Hour of Day,Density
M,6,0.0030627507776748056
M,7,0.02878108113773429
M,8,0.04707270975918334
M,9,0.04793293223990197
M,10,0.03590583959390534
M,11,0.0159453704669251
M,12,0.0
M,13,0.0
M,14,0.0
M,15,0.0
M,16,0.0001827393070520076
M,17,0.0
M,18,0.0
M,19,0.0
M,20,0.0
M,21,0.0
M,22,0.0
M,23,0.0
T,6,0.002984428404706734
T,7,0.027963461292370036
T,8,0.04571445015886452
T,9,0.046379496893606334
T,10,0.034643557303132975
T,11,0.014861778788582112
T,12,7.213861530211619e-06
T,13,0.0
T,14,0.0
T,15,0.0
T,16,0.0001879430587276772
T,17,0.0
T,18,0.0
T,19,0.0
T,20,0.0
T,21,0.0
T,22,0.0
T,23,0.0
W,6,0.0027226845144078865
W,7,0.027149595330318823
W,8,0.04512557635349134
W,9,0.046641564799019
W,10,0.034951412691497825
W,11,0.014926557648290878
W,12,0.0
W,13,0.0
W,14,0.0
W,15,0.0
W,16,0.00015746321423041346
W,17,0.0
W,18,0.0
W,19,0.0
W,20,0.0
W,21,0.0
W,22,0.0
W,23,0.0
R,6,0.0025601407758254983
R,7,0.024480673475705365
R,8,0.04047108765541782
R,9,0.04233063625941274
R,10,0.03188431478362932
R,11,0.01416553153352682
R,12,6.60110589312987e-05
R,13,0.0
R,14,0.0
R,15,0.0
R,16,0.0002129264630438342
R,17,0.0
R,18,0.0
R,19,0.0
R,20,0.0
R,21,0.0
R,22,0.0
R,23,0.0
F,6,0.002564659157343434
F,7,0.025447815389922218
F,8,0.042152926189221944
F,9,0.04456776979275921
F,10,0.034102923370071855
F,11,0.015589139153297142
F,12,0.00046488482679771394
F,13,0.0
F,14,0.0
F,15,0.0
F,16,0.000383799328411691
F,17,0.0
F,18,0.0
F,19,0.0
F,20,0.0
F,21,0.0
F,22,0.0
F,23,0.0
Sa,6,0.0
Sa,7,0.0
Sa,8,0.012618469630232481
Sa,9,0.025844889965986377
Sa,10,0.02598241372715068
Sa,11,0.01630722218362886
Sa,12,0.004583363933431725
Sa,13,0.0
Sa,14,0.0
Sa,15,0.0002676292111436741
Sa,16,0.0013173700077114352
Sa,17,0.0007388257228113189
Sa,18,0.000506666306735561
Sa,19,0.0004224519745458137
Sa,20,0.0
Sa,21,0.0
Sa,22,0.0
Sa,23,0.0
Su,6,0.0
Su,7,0.0
Su,8,0.007346283195308342
Su,9,0.015960414837174905
Su,10,0.017892319278159922
Su,11,0.012839495872368819
Su,12,0.005790145188977838
Su,13,0.0014441695144336382
Su,14,0.0005485822350588404
Su,15,0.00105485802582823
Su,16,0.0015220159417154494
Su,17,0.0009215319411760243
Su,18,0.0006464876736978482
Su,19,0.000698546824250689
Su,20,0.0
Su,21,0.0
Su,22,0.0
Su,23,0.0
