Day,Hour of Day,Density
M,6,0.0
M,7,0.0
M,8,0.0
M,9,0.0
M,10,0.0
M,11,0.0
M,12,0.0
M,13,0.0
M,14,0.0
M,15,0.0
M,16,0.0
M,17,0.0
M,18,0.0
M,19,0.018137292421052078
M,20,0.05351170259333953
M,21,0.06148952433383911
M,22,0.03504789387310108
M,23,0.0
T,6,0.0
T,7,0.0
T,8,0.0
T,9,0.0
T,10,0.0
T,11,0.0
T,12,0.0
T,13,0.0
T,14,0.0
T,15,0.0
T,16,0.0
T,17,0.0
T,18,0.0
T,19,0.020689099744253026
T,20,0.054990449713555795
T,21,0.06100052374971783
T,22,0.03395450279012413
T,23,0.0
W,6,0.0
W,7,0.0
W,8,0.0
W,9,0.0
W,10,0.0
W,11,0.0
W,12,0.0
W,13,0.0
W,14,0.0
W,15,0.0
W,16,0.0
W,17,0.0
W,18,0.0
W,19,0.019166058127792335
W,20,0.05205153598962108
W,21,0.05774694573858289
W,22,0.03238417416883366
W,23,0.0
R,6,0.0
R,7,0.0
R,8,0.0
R,9,0.0
R,10,0.0
R,11,0.0
R,12,0.0
R,13,0.0
R,14,0.0
R,15,0.0
R,16,0.0
R,17,0.0
R,18,0.0
R,19,0.01954463709381143
R,20,0.05043662032041459
R,21,0.05528783807071393
R,22,0.030815793402117587
R,23,0.0
F,6,0.0
F,7,0.0
F,8,0.0
F,9,0.0
F,10,0.0
F,11,0.0
F,12,0.0
F,13,0.0
F,14,0.0
F,15,0.0
F,16,0.0
F,17,0.0
F,18,0.0
F,19,0.01697080340531671
F,20,0.04462618492626592
F,21,0.04999340203491672
F,22,0.028610218315013924
F,23,0.0
Sa,6,0.0
Sa,7,0.0
Sa,8,6.186164591479896e-05
Sa,9,0.0003422466512696185
Sa,10,0.0005707749356095595
Sa,11,0.0009284157889090333
Sa,12,0.0018228996536336698
Sa,13,0.0035682996631860686
Sa,14,0.006125669575701374
Sa,15,0.008962683296523282
Sa,16,0.01110360194773339
Sa,17,0.01328844160770253
Sa,18,0.01709134014873955
Sa,19,0.02079708834955002
Sa,20,0.0
Sa,21,0.0
Sa,22,0.0
Sa,23,0.0
Su,6,0.0
Su,7,0.0
Su,8,0.00019723921487725858
Su,9,0.0008811467102722234
Su,10,0.0018220555757442055
Su,11,0.0029249669931701227
Su,12,0.004528819803326202
Su,13,0.007309027086515285
Su,14,0.011099908781614851
Su,15,0.014513333374323813
Su,16,0.016818200806434223
Su,17,0.018210864080918536
Su,18,0.020346877806628198
Su,19,0.020229035689318848
Su,20,0.0
Su,21,0.0
Su,22,0.0
Su,23,0.0
