Day,Hour of Day,Density
M,6,0.0
M,7,0.0
M,8,0.0
M,9,0.0008212635934437252
M,10,0.015419760533319568
M,11,0.03233621734054381
M,12,0.044211307510910756
M,13,0.040378838849152596
M,14,0.025334425902321215
M,15,0.010619153373290164
M,16,0.0
M,17,0.0
M,18,0.0
M,19,0.0
M,20,0.0
M,21,0.0
M,22,0.0
M,23,0.0
T,6,0.0
T,7,0.0
T,8,0.0
T,9,0.0011103206141818234
T,10,0.015562405722567407
T,11,0.031877838783565544
T,12,0.04225107539739574
T,13,0.037280768774162885
T,14,0.02267782600431618
T,15,0.009201570659248044
T,16,0.0
T,17,0.0
T,18,0.0
T,19,0.0002674819412471721
T,20,0.0
T,21,0.0
T,22,0.0
T,23,0.0
W,6,0.0
W,7,0.0
W,8,0.0
W,9,0.0010908067003801768
W,10,0.015120264037962409
W,11,0.03180688074829984
W,12,0.04230574553194184
W,13,0.037760372874479635
W,14,0.02288387523333912
W,15,0.009365940764800308
W,16,0.0
W,17,0.0
W,18,0.0
W,19,0.0
W,20,0.0
W,21,0.0
W,22,0.0
W,23,0.0
R,6,0.0
R,7,0.0
R,8,0.0
R,9,0.0010961257753390812
R,10,0.014464273193758335
R,11,0.02981281156767369
R,12,0.040004393723298844
R,13,0.03573695267480998
R,14,0.022097566328461937
R,15,0.009142534098687247
R,16,0.0
R,17,0.0
R,18,0.0
R,19,0.0003491617943147033
R,20,0.0
R,21,0.0
R,22,0.0
R,23,0.0
F,6,0.0
F,7,0.0
F,8,0.0
F,9,0.000798048311139578
F,10,0.014600397101068252
F,11,0.030600873514496935
F,12,0.04049070611864423
F,13,0.035759088427350004
F,14,0.022713542064381392
F,15,0.009931116938307375
F,16,0.0
F,17,0.0
F,18,0.0
F,19,0.0
F,20,0.0
F,21,0.0
F,22,0.0
F,23,0.0
Sa,6,0.0
Sa,7,0.0
Sa,8,0.0
Sa,9,0.0013359421638901492
Sa,10,0.010029754579372382
Sa,11,0.021427777299429362
Sa,12,0.029780655222607734
Sa,13,0.02796215936327964
Sa,14,0.01838803332947784
Sa,15,0.007360018412853298
Sa,16,0.0
Sa,17,0.0
Sa,18,0.0
Sa,19,0.0
Sa,20,0.0
Sa,21,0.0
Sa,22,0.0
Sa,23,0.0
Su,6,0.0
Su,7,0.0
Su,8,0.0
Su,9,0.0013215155717850504
Su,10,0.007161827587153272
Su,11,0.01520000129090283
Su,12,0.021441153633806827
Su,13,0.020818421878139193
Su,14,0.014413664890327577
Su,15,0.006077342254373273
Su,16,0.0
Su,17,0.0
Su,18,0.0
Su,19,0.0
Su,20,0.0
Su,21,0.0
Su,22,0.0
Su,23,0.0
