Number of Visits,Cumulative Proportion (Survived ≤ 6 Weeks),Cumulative Proportion (Survived > 6 Weeks),Difference
1,0.0,0.0,0.0
2,0.03871688032058056,0.0,0.03871688032058056
3,0.149374987539624,0.0,0.149374987539624
4,0.2631631412109492,0.00038204393505253105,0.26278109727589666
5,0.3727347036424171,0.003830493138289851,0.36890421050412725
6,0.47662433461592135,0.01349218318001307,0.4631321514359083
7,0.5695687713072429,0.03219222842205801,0.5373765428851849
8,0.6496540999621204,0.06017191977077364,0.5894821801913468
9,0.7200801451384597,0.09697883677675564,0.6231013083617041
10,0.7783847365378098,0.14437239229879859,0.6340123442390112
11,0.8260930241830977,0.1976775750263912,0.6284154491567066
12,0.8649295241133197,0.25803046297692656,0.6068990611363931
13,0.8953826830678443,0.3218619614939929,0.5735207215738514
14,0.9205227376941326,0.38652792439551603,0.5339948132986165
15,0.9393329213102335,0.4519077062283215,0.487425215081912
16,0.9540561015969218,0.5170663047303071,0.43698979686661465
17,0.9655296158216871,0.5782134419142412,0.3873161739074459
18,0.9742120058214877,0.6347458905142512,0.33946611530723647
19,0.9806515281405132,0.6871663399185644,0.2934851882219488
20,0.9855958053390219,0.7359473181521138,0.24964848718690813
21,0.9895033792539724,0.7791685517518725,0.21033482750209986
22,0.9919954544548336,0.8162971899663198,0.17569826448851378
23,0.9943180685420363,0.8495551198914191,0.14476294865061723
24,0.995922964971391,0.8798170210626853,0.11610594390870566
25,0.9970792878645905,0.9050017594128588,0.09207752845173178
26,0.9979265934328835,0.9262152515960388,0.07171134183684469
27,0.9987041208955522,0.9442416930578595,0.05446242783769262
28,0.9991427261309037,0.9582566732016287,0.04088605292927505
29,0.9994716800574174,0.9696677223143819,0.02980395774303546
30,0.9996311728702726,0.9782134419142412,0.02141773095603139
31,0.9997507924799138,0.9845272206303725,0.015223571849541373
32,0.9998504754879484,0.9894535766349972,0.010396898852951142
33,0.9999401901951793,0.9928115417483537,0.007128648446825592
34,0.9999700950975897,0.9951540742974916,0.004816020800098131
35,0.9999900316991965,0.9970341326094606,0.002955899089735925
36,1.0,0.9982808022922636,0.0017191977077364307
37,1.0,0.9988538681948425,0.0011461318051575464
38,1.0,0.9993465037953049,0.0006534962046951254
39,1.0,0.9997084401548283,0.0002915598451717072
40,1.0,0.9998491931835319,0.00015080681646806315
41,1.0,0.9999296234856482,7.037651435182202e-05
42,1.0,1.0,0.0
