bin_start,bin_end,probability
14.0,17.0,0.027344668965827924
17.0,20.0,0.09540351281140037
20.0,23.0,0.161465189730858
23.0,26.0,0.17672174309125402
26.0,29.0,0.1491117862881226
29.0,32.0,0.10769685108342551
32.0,35.0,0.07673826101319932
35.0,38.0,0.0564462441749298
38.0,41.0,0.044518302358058495
41.0,44.0,0.03466761436158232
44.0,47.0,0.02441649189370467
47.0,50.0,0.016913350985819614
50.0,53.0,0.011162110890315992
53.0,56.0,0.007948624257319192
56.0,59.0,0.004004344714014706
59.0,62.0,0.0025327480316143015
62.0,65.0,0.0013364500483024082
65.0,68.0,0.0006106625688872426
68.0,71.0,0.000445483349434136
71.0,74.0,0.0002302498210558456
74.0,77.0,0.0001751900812381434
77.0,80.0,6.507060160273898e-05
80.0,83.0,1.5016292677555148e-05
83.0,86.0,2.5027154462591913e-05
86.0,89.0,0.0
89.0,92.0,0.0
92.0,95.0,0.0
95.0,98.0,5.005430892518383e-06
98.0,101.0,0.0
101.0,104.0,0.0
