,Morning,Noon,Afternoon,Evening,Night
Flag_6,0.2897513932255642,0.2567877003598299,0.2781222542989833,0.2593669611900235,0.263710242398767
Flag_7,0.2986443223588,0.2806673209028459,0.2784234969248149,0.2566826976848227,0.2681658960347485
Flag_8,0.3170625666969685,0.2924435721295387,0.2887410568595456,0.2363829549267419,0.264915230489001
Flag_9,0.3212126002924785,0.2988405481045324,0.2747332747583783,0.2504473772508668,0.2673672411377329
Flag_10,0.326469309513458,0.2906262494093701,0.2713191916656207,0.2447712783804943,0.2703236654056326
Flag_11,0.3502233113315679,0.2900083596845128,0.2647671645537843,0.2569623084666145,0.2726916071178366
Flag_12,0.3373779692502273,0.2754697779231636,0.2687586293460525,0.2616597696007158,0.2663444024099762
Flag_13,0.319908304019604,0.2694362664922037,0.2709426383833312,0.2588916228609775,0.2662463219840269
Flag_14,0.3197502075016797,0.2559153854541489,0.2693862181498682,0.2546135778995638,0.2621549670729998
Flag_15,0.30429627287459,0.2696906916730273,0.2659972386092632,0.2466726316966782,0.2559478772593527
Flag_16,0.3089205960238725,0.2605677316177807,0.2639638508849002,0.2475114640420534,0.2511699593666807
Flag_17,0.3014900596814355,0.2726711009341039,0.2595958328103426,0.2393747902919136,0.2475830180748213
