,Morning,Noon,Afternoon,Evening,Night
Flag_6,0.2139836370103948,0.2457747246756079,0.2431781097025229,0.1681858852477351,0.1957965531736023
Flag_7,0.1920872692778941,0.2362883000763275,0.2221664365507719,0.1392182082541102,0.1884124982485638
Flag_8,0.1887672424014861,0.2342165521753353,0.1791640517133174,0.1137736271110614,0.1634860585680257
Flag_9,0.148492154460298,0.2120452149892778,0.1334253796912263,0.086651381277262,0.1434496286955303
Flag_10,0.1629184617208806,0.1812597681096209,0.1323459269486632,0.0815904261268314,0.1195600392321703
Flag_11,0.148531678589779,0.161487296914186,0.1100288690849755,0.0604798121015546,0.1137873055905842
Flag_12,0.1494407335678431,0.1506197070475775,0.081260198318062,0.0378592998546023,0.0965531736023539
Flag_13,0.1376230188530097,0.1269218187765783,0.052993598594201,0.0322391231405883,0.0785904441642146
Flag_14,0.1111023279712264,0.1006433322429397,0.0316555792644659,0.0198803265853931,0.0611181168558217
Flag_15,0.0739101221295601,0.0999890960636789,0.0299485377180871,0.0137288893859747,0.0563542104525711
Flag_16,0.0743053634243705,0.0977719623450732,0.0136312288188778,0.0047813443686388,0.0438699733781701
Flag_17,0.0761629975099798,0.071929633264275,0.0009539349817999,-0.0028799910524549,0.0309373686422866
