,Morning,Noon,Afternoon,Evening,Night
Flag_6,0.155092684083633,0.2931705012176062,0.1932471444709426,0.2162509786377362,0.2153565924057727
Flag_7,0.1917710762420457,0.3044015556282484,0.2134806075059621,0.2028576221899116,0.2252346924478072
Flag_8,0.1826410023319236,0.2865554465161923,0.2285929459018451,0.210295268985572,0.2371164354770912
Flag_9,0.2041026046401328,0.2680187547704721,0.2292205347056608,0.222458337993513,0.2363177805800756
Flag_10,0.1831152918856962,0.2678733689528587,0.2615037027739425,0.2329717033888826,0.2165055345383214
Flag_11,0.1098770799573139,0.2607858103442009,0.2312288188778712,0.2335309249524661,0.2121899957965531
Flag_12,0.1438283071815343,0.269472612946607,0.2274883896071294,0.2315456884017447,0.1888048199523609
Flag_13,0.1107070866764159,0.2481008977574237,0.2205096021086983,0.213818364836148,0.1959927140255009
Flag_14,0.0824078099679854,0.2212045214989277,0.20582402409941,0.2183760205793535,0.2058007566204287
Flag_15,0.0518556578791352,0.2227310725838694,0.2018827664114472,0.2184878648920702,0.2141796272943814
Flag_16,0.042725583969013,0.211972522080471,0.2053972637128153,0.2085337210602841,0.2119658119658119
Flag_17,0.0668748270819335,0.2225493403118525,0.2018827664114472,0.2003690862319651,0.2153145579375087
