,Morning,Noon,Afternoon,Evening,Night
Flag_6,0.3540176277617485,0.3901428415658052,0.3829546880883645,0.3844927860418298,0.4034047919293821
Flag_7,0.3893521995178056,0.4140224621088212,0.4191038031881511,0.4503970473101443,0.4348185512119938
Flag_8,0.3911703094739338,0.4048268091447679,0.4007782101167315,0.4446929873615927,0.4121199383494465
Flag_9,0.3610529228093751,0.3535056155272053,0.3854650433036274,0.4149424001789509,0.3744150203166597
Flag_10,0.3401841824433816,0.3286082942608948,0.3504957951550144,0.4082597024941282,0.3330110690766428
Flag_11,0.3490375874471365,0.3186493657543706,0.3432157650307519,0.387093166312493,0.3152445004904021
Flag_12,0.3248092960752539,0.3129793188674444,0.3250910003765533,0.3893580136450061,0.2842791088692728
Flag_13,0.3160744634599423,0.2904808635917566,0.2891678172461403,0.3833743429146627,0.2436878240156928
Flag_14,0.2876170902335876,0.2857194780649148,0.2387347809715074,0.3348059501174365,0.2050581476810985
Flag_15,0.2452472234299039,0.2751063133791299,0.2444081837580017,0.3183089139917235,0.1818411097099621
Flag_16,0.2277775581992806,0.2603496528913605,0.2244257562445086,0.3200984229951907,0.1674092756059969
Flag_17,0.2324018813485633,0.2334169301784611,0.1932471444709426,0.3176378481154233,0.1657278968754378
