bin_start,bin_end,probability
14.0,17.0,0.011120802442215439
17.0,20.0,0.06061927605756651
20.0,23.0,0.1785870039249891
23.0,26.0,0.20148277365896206
26.0,29.0,0.170082860880942
29.0,32.0,0.1275621456607065
32.0,35.0,0.08809419973833406
35.0,38.0,0.051897078063672046
38.0,41.0,0.04295682511993022
41.0,44.0,0.0255124291321413
44.0,47.0,0.0170082860880942
47.0,50.0,0.010902747492368076
50.0,53.0,0.005233318796336677
53.0,56.0,0.0039249890972525075
56.0,59.0,0.0028347143480157
59.0,62.0,0.0010902747492368076
62.0,65.0,0.0006541648495420846
65.0,68.0,0.0
68.0,71.0,0.0
71.0,74.0,0.00021805494984736154
74.0,77.0,0.00021805494984736154
77.0,80.0,0.0
80.0,83.0,0.0
83.0,86.0,0.0
86.0,89.0,0.0
89.0,92.0,0.0
92.0,95.0,0.0
95.0,98.0,0.0
98.0,101.0,0.0
101.0,104.0,0.0
